title,link
Cacti.import_package.Arbitrary.File.Write,https://www.fortiguard.com/encyclopedia/ips/56553
ParisNeo.LoLLMs.Server.install_extension.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/56549
Uniview.IP.Cameras.CVE-2021-45039.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/56544
WordPress.GiveWP.give_title.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56543
WordPress.Plugin.LiteSpeed.Cache.Privilege.Escalation,https://www.fortiguard.com/encyclopedia/ips/56548
Atlassian.Companion.CVE-2023-22524.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/56540
Atlassian.Bitbucket.CVE-2022-26133.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/56524
Atlassian.Fisheye.Login.Brute.Force,https://www.fortiguard.com/encyclopedia/ips/56518
Softaculous.Webuzo.fpass.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/56510
Uniview.IPC2322LB.Password.Recovery.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/56505
Dahua.Products.Loopback.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/56500
Dahua.Products.NetKeyboard.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/56499
Inoideas.inoERP.download.php.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/55611
Layer5.Meshery.order.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/55522
Raisecom.Gateway.Devices.Base.Config.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56494
WordPress.Dokan.Pro.admin.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/56473
WordPress.Quiz.Maker.admin-ajax.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/56471
Cisco.SSM.On-Prem.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/56429
Stition.AI.Devika.snapshot_path.Path.Traversal,https://www.fortiguard.com/encyclopedia/ips/56380
TOTOLINK.A3600R.cstecgi.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/56286
Apache.OFBiz.Endpoints.Incorrect.Authorization.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/56373
GL.iNet.Devices.libglutil.so.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/56224
TOTOLINK.A6000R.apcli_do_enr_pbc_wps.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56216
TOTOLINK.A6000R.apcli_do_enr_pin_wps.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56213
TOTOLINK.A6000R.apcli_wps_gen_pincode.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56212
TOTOLINK.A6000R.vif_disable.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56222
Draytek.Vigor.user_login.cgi.Format.String,https://www.fortiguard.com/encyclopedia/ips/56335
NUUO.NVR.Devices.Debugging.Center.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56256
Rockwell.Automation.FactoryTalk.View.ME.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/56289
IPeakCMS.CVE-2021-3018.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/56267
